# Karancho
000000000;1346086945;0;MVARIO; 
000000000;1346086945;1;Vario;m/s
000000000;1346086945;2;Abs. altit;m
000000000;1346086945;3;Rel. altit;m
000000000;1346086945;4;Air press.;hPa
000000000;1346086945;5;Temp.;°C
000000000;1426827393;0;MT-125; 
000000000;1426827393;1;Temp. A;°C
000000000;1426827393;2;Temp. B;°C
1275032450;1346086945;1;1;1;1
1275032451;1346086945;2;1;1;2738
1275032451;1346086945;3;1;1;4294967240
1275032451;1346086945;4;4;2;96546
1275032451;1346086945;5;1;1;251
1275032638;1346086945;1;1;1;3
1275032640;1346086945;2;1;1;2739
1275032640;1346086945;3;1;1;4294967241
1275032640;1346086945;4;4;2;96545
1275032640;1346086945;5;1;1;251
1275032838;1346086945;1;1;1;3
1275032838;1346086945;2;1;1;2740
1275032839;1346086945;3;1;1;4294967242
1275032839;1346086945;4;4;2;96544
1275032839;1346086945;5;1;1;251
1275033067;1346086945;1;1;1;2
1275033067;1346086945;2;1;1;2741
1275033067;1346086945;3;1;1;4294967243
1275033067;1346086945;4;4;2;96543
1275033067;1346086945;5;1;1;251
1275033230;1346086945;1;1;1;2
1275033230;1346086945;2;1;1;2741
1275033231;1346086945;3;1;1;4294967243
1275033231;1346086945;4;4;2;96543
1275033231;1346086945;5;1;1;252
1275033435;1346086945;1;1;1;2
1275033435;1346086945;2;1;1;2743
1275033435;1346086945;3;1;1;4294967245
1275033435;1346086945;4;4;2;96541
1275033435;1346086945;5;1;1;252
1275033654;1346086945;1;1;1;2
1275033654;1346086945;2;1;1;2748
1275033655;1346086945;3;1;1;4294967250
1275033655;1346086945;4;4;2;96535
1275033655;1346086945;5;1;1;252
1275033838;1346086945;1;1;1;2
1275033838;1346086945;2;1;1;2754
1275033840;1346086945;3;1;1;4294967256
1275033840;1346086945;4;4;2;96528
1275033840;1346086945;5;1;1;252
1275034039;1346086945;1;1;1;2
1275034039;1346086945;2;1;1;2760
1275034039;1346086945;3;1;1;4294967262
1275034039;1346086945;4;4;2;96521
1275034039;1346086945;5;1;1;252
1275034262;1346086945;1;1;1;20
1275034262;1346086945;2;1;1;2766
1275034262;1346086945;3;1;1;4294967268
1275034262;1346086945;4;4;2;96514
1275034263;1346086945;5;1;1;252
1275035630;1346086945;1;1;1;36
1275035630;1346086945;2;1;1;2816
