# Karancho tst
000000000;1346086945;0;MVARIO; 
000000000;1346086945;1;Vario;m/s
000000000;1346086945;2;Abs. altit;m
000000000;1346086945;3;Rel. altit;m
000000000;1346086945;4;Air press.;hPa
000000000;1346086945;5;Temp.;°C
000000000;1426827393;0;MT-125; 
000000000;1426827393;1;Temp. A;°C
000000000;1426827393;2;Temp. B;°C
1610693152;1346086945;1;1;1;4294967295
1610693152;1346086945;2;1;1;2674
1610693152;1346086945;3;1;1;4294967175
1610693152;1346086945;4;4;2;98446
1610693152;1346086945;5;1;1;291
1610693251;1346086945;1;1;1;0
1610693257;1346086945;2;1;1;2674
1610693257;1346086945;3;1;1;4294967175
1610693257;1346086945;4;4;2;98446
1610693257;1346086945;5;1;1;291
1610693434;1346086945;1;1;1;0
1610693434;1346086945;2;1;1;2674
1610693434;1346086945;3;1;1;4294967175
1610693434;1346086945;4;4;2;98446
1610693434;1346086945;5;1;1;291
1610693643;1346086945;1;1;1;0
1610693643;1346086945;2;1;1;2674
1610693643;1346086945;3;1;1;4294967175
1610693643;1346086945;4;4;2;98446
1610693643;1346086945;5;1;1;291
1610693841;1346086945;1;1;1;0
1610693844;1346086945;2;1;1;2674
1610693844;1346086945;3;1;1;4294967175
1610693844;1346086945;4;4;2;98446
1610693844;1346086945;5;1;1;291
1610694241;1346086945;1;1;1;0
1610694241;1346086945;2;1;1;2673
1610694241;1346086945;3;1;1;4294967174
1610694241;1346086945;4;4;2;98447
1610694241;1346086945;5;1;1;291
1610694441;1346086945;1;1;1;0
1610694441;1346086945;2;1;1;2673
1610694441;1346086945;3;1;1;4294967174
1610694441;1346086945;4;4;2;98447
1610694441;1346086945;5;1;1;291
1610694636;1346086945;1;1;1;0
1610694639;1346086945;2;1;1;2673
1610694639;1346086945;3;1;1;4294967174
1610694639;1346086945;4;4;2;98447
1610694639;1346086945;5;1;1;291
1610694843;1346086945;1;1;1;0
1610694843;1346086945;2;1;1;2673
1610694843;1346086945;3;1;1;4294967174
1610694843;1346086945;4;4;2;98447
1610694843;1346086945;5;1;1;291
1610695041;1346086945;1;1;1;0
1610695041;1346086945;2;1;1;2673
1610695041;1346086945;3;1;1;4294967174
1610695041;1346086945;4;4;2;98447
1610695041;1346086945;5;1;1;291
1610695255;1346086945;1;1;1;0
1610695255;1346086945;2;1;1;2672
1610695258;1346086945;3;1;1;4294967173
1610695258;1346086945;4;4;2;98448
1610695258;1346086945;5;1;1;291
1610695641;1346086945;1;1;1;0
1610695641;1346086945;2;1;1;2672
1610695641;1346086945;3;1;1;4294967173
1610695641;1346086945;4;4;2;98448
1610695641;1346086945;5;1;1;291
1610695836;1346086945;1;1;1;0
1610695836;1346086945;2;1;1;2672
1610695836;1346086945;3;1;1;4294967173
1610695836;1346086945;4;4;2;98448
1610695836;1346086945;5;1;1;291
1610696043;1346086945;1;1;1;0
1610696043;1346086945;2;1;1;2672
1610696045;1346086945;3;1;1;4294967173
1610696045;1346086945;4;4;2;98448
1610696045;1346086945;5;1;1;291
1610696241;1346086945;1;1;1;1
1610696241;1346086945;2;1;1;2672
1610696241;1346086945;3;1;1;4294967173
1610696241;1346086945;4;4;2;98448
1610696241;1346086945;5;1;1;291
1610696451;1346086945;1;1;1;1
1610696451;1346086945;2;1;1;2673
1610696451;1346086945;3;1;1;4294967174
1610696451;1346086945;4;4;2;98447
1610696451;1346086945;5;1;1;291
1610696641;1346086945;1;1;1;1
1610696641;1346086945;2;1;1;2673
1610696643;1346086945;3;1;1;4294967174
1610696643;1346086945;4;4;2;98447
1610696643;1346086945;5;1;1;291
1610696841;1346086945;1;1;1;1
1610696841;1346086945;2;1;1;2674
1610696841;1346086945;3;1;1;4294967175
1610696841;1346086945;4;4;2;98446
1610696841;1346086945;5;1;1;291
1610697243;1346086945;1;1;1;1
1610697243;1346086945;2;1;1;2673
1610697243;1346086945;3;1;1;4294967174
1610697243;1346086945;4;4;2;98447
1610697243;1346086945;5;1;1;291
1610697441;1346086945;1;1;1;1
1610697441;1346086945;2;1;1;2672
1610697443;1346086945;3;1;1;4294967173
1610697443;1346086945;4;4;2;98448
1610697443;1346086945;5;1;1;291
1610697647;1346086945;1;1;1;1
1610697647;1346086945;2;1;1;2672
1610697647;1346086945;3;1;1;4294967173
1610697647;1346086945;4;4;2;98448
1610697647;1346086945;5;1;1;291
1610697841;1346086945;1;1;1;0
1610697841;1346086945;2;1;1;2672
1610697841;1346086945;3;1;1;4294967173
1610697841;1346086945;4;4;2;98448
1610697841;1346086945;5;1;1;291
1610698245;1346086945;1;1;1;0
1610698245;1346086945;2;1;1;2672
1610698245;1346086945;3;1;1;4294967173
1610698248;1346086945;4;4;2;98448
1610698248;1346086945;5;1;1;291
1610698441;1346086945;1;1;1;0
1610698441;1346086945;2;1;1;2672
1610698441;1346086945;3;1;1;4294967173
1610698441;1346086945;4;4;2;98448
1610698441;1346086945;5;1;1;291
1610698641;1346086945;1;1;1;0
1610698641;1346086945;2;1;1;2672
1610698641;1346086945;3;1;1;4294967173
1610698641;1346086945;4;4;2;98449
1610698641;1346086945;5;1;1;291
1610699241;1346086945;1;1;1;0
1610699241;1346086945;2;1;1;2672
1610699241;1346086945;3;1;1;4294967173
1610699245;1346086945;4;4;2;98448
1610699245;1346086945;5;1;1;291
1610699447;1346086945;1;1;1;0
1610699447;1346086945;2;1;1;2672
1610699447;1346086945;3;1;1;4294967173
1610699447;1346086945;4;4;2;98449
1610699447;1346086945;5;1;1;291
1610699641;1346086945;1;1;1;0
1610699641;1346086945;2;1;1;2672
1610699641;1346086945;3;1;1;4294967173
1610699641;1346086945;4;4;2;98448
1610699641;1346086945;5;1;1;291
1610699841;1346086945;1;1;1;0
1610699841;1346086945;2;1;1;2672
1610699841;1346086945;3;1;1;4294967173
1610699843;1346086945;4;4;2;98449
1610699843;1346086945;5;1;1;291
1610700443;1346086945;1;1;1;0
1610700443;1346086945;2;1;1;2672
1610700443;1346086945;3;1;1;4294967173
1610700443;1346086945;4;4;2;98449
1610700443;1346086945;5;1;1;291
1610700643;1346086945;1;1;1;0
1610700643;1346086945;2;1;1;2672
1610700643;1346086945;3;1;1;4294967173
1610700643;1346086945;4;4;2;98448
1610700643;1346086945;5;1;1;291
1610700841;1346086945;1;1;1;0
1610700841;1346086945;2;1;1;2672
1610700841;1346086945;3;1;1;4294967173
1610700859;1346086945;4;4;2;98448
1610700859;1346086945;5;1;1;291
1610701040;1346086945;1;1;1;1
1610701040;1346086945;2;1;1;2673
1610701040;1346086945;3;1;1;4294967174
1610701040;1346086945;4;4;2;98447
1610701040;1346086945;5;1;1;291
1610701256;1346086945;1;1;1;1
1610701256;1346086945;2;1;1;2672
1610701256;1346086945;3;1;1;4294967173
1610701256;1346086945;4;4;2;98448
1610701256;1346086945;5;1;1;291
1610701843;1346086945;1;1;1;0
1610701843;1346086945;2;1;1;2672
1610701843;1346086945;3;1;1;4294967173
1610701847;1346086945;4;4;2;98448
1610701847;1346086945;5;1;1;291
1610702041;1346086945;1;1;1;0
1610702041;1346086945;2;1;1;2673
1610702041;1346086945;3;1;1;4294967174
1610702041;1346086945;4;4;2;98447
1610702041;1346086945;5;1;1;291
1610702241;1346086945;1;1;1;1
1610702241;1346086945;2;1;1;2673
1610702241;1346086945;3;1;1;4294967174
1610702241;1346086945;4;4;2;98447
1610702241;1346086945;5;1;1;291
1610702435;1346086945;1;1;1;1
1610702435;1346086945;2;1;1;2675
1610702435;1346086945;3;1;1;4294967176
1610702435;1346086945;4;4;2;98445
1610702438;1346086945;5;1;1;291
1610702641;1346086945;1;1;1;2
1610702641;1346086945;2;1;1;2675
1610702641;1346086945;3;1;1;4294967176
1610702641;1346086945;4;4;2;98445
1610702641;1346086945;5;1;1;291
1610703075;1346086945;1;1;1;2
1610703075;1346086945;2;1;1;2675
1610703075;1346086945;3;1;1;4294967176
1610703075;1346086945;4;4;2;98445
1610703075;1346086945;5;1;1;291
1610703241;1346086945;1;1;1;2
1610703241;1346086945;2;1;1;2675
1610703241;1346086945;3;1;1;4294967176
1610703241;1346086945;4;4;2;98445
1610703243;1346086945;5;1;1;291
1610703441;1346086945;1;1;1;1
1610703441;1346086945;2;1;1;2675
1610703441;1346086945;3;1;1;4294967176
1610703441;1346086945;4;4;2;98445
1610703441;1346086945;5;1;1;291
1610703641;1346086945;1;1;1;1
1610703641;1346086945;2;1;1;2674
1610703641;1346086945;3;1;1;4294967175
1610703641;1346086945;4;4;2;98446
1610703641;1346086945;5;1;1;291
1610704043;1346086945;1;1;1;0
1610704043;1346086945;2;1;1;2674
1610704043;1346086945;3;1;1;4294967175
1610704043;1346086945;4;4;2;98446
1610704046;1346086945;5;1;1;291
1610704241;1346086945;1;1;1;0
1610704241;1346086945;2;1;1;2674
1610704241;1346086945;3;1;1;4294967175
1610704241;1346086945;4;4;2;98446
1610704241;1346086945;5;1;1;291
1610704457;1346086945;1;1;1;0
1610704457;1346086945;2;1;1;2674
1610704457;1346086945;3;1;1;4294967175
